,0
0,Allergen List
1,Appetizers
2,Arepas
3,Bagels
4,Baked Goods
5,Beer
6,Beer (Reduced)
7,Bread/Buns
8,Breakfast Sandwiches
9,Breakfast Tacos
10,Brownies
11,Burgers
12,Cake Pops
13,Cakes
14,Calamari
15,Calzones
16,Celiac Friendly
17,Cheesecake
18,Chicken Fingers/Nuggets
19,Chicken Parmesan
20,Cider
21,Cinnamon Rolls
22,Clam Chowder
23,Cocktails
24,Cookies
25,Crab Cakes
26,Crepes
27,Croissants
28,Cupcakes
29,Dedicated Fryer
30,Dedicated Gluten Free Facility
31,Dedicated Kitchen Space
32,Dedicated Toaster
33,Deep Dish Pizza
34,Dessert
35,Donuts
36,Eggs Benedict
37,Empanadas
38,Falafel
39,French Toast
40,Fried Chicken
41,Fries
42,Gelato
43,Gluten Free Menu
44,Gnocchi
45,Grilled Cheese
46,Hot Dogs
47,Ice Cream Cones
48,Lobster Rolls
49,Mac & Cheese
50,Meatballs
51,Mozzarella Sticks
52,Muffins
53,None Listed
54,Noodles
55,Onion Rings
56,Pad Thai
57,Pancakes
58,Pasta
59,Pastries
60,Philly Cheesesteaks
61,Pho
62,Pies
63,Pita
64,Pizza
65,Po-Boys
66,Poke
67,Poutine
68,Quiche
69,Ramen
70,Ravioli
71,Rice Bowls
72,Salad
73,Sandwiches
74,Scones
75,Smoothies
76,Soup
77,Soy Sauce
78,Sushi
79,Tacos
80,Tortilla Chips
81,Tortillas
82,Waffles
83,Wedding Cakes
84,Wings
85,Wraps
